,album,artist,lyric,song
0,Undeniable (2012),Young Sinatra,Yeah; pass the mic before I jack it like gore-tex,Disgusting
1,Undeniable (2012),Young Sinatra,"Bust like raw sex, rappers suck like vortex",Disgusting
2,Undeniable (2012),Young Sinatra,"The life of a Don- We living like kings, and killing our pawns",Disgusting
3,Undeniable (2012),Young Sinatra,"Boy, the seconds it's on - don't know where we going",Disgusting
4,Undeniable (2012),Young Sinatra,I'm flowing and killing this shit from dusk till dawn,Disgusting
5,Undeniable (2012),Young Sinatra,Just had sex with a Middle Eastern girl- The pussy was bomb,Disgusting
6,Undeniable (2012),Young Sinatra,That last line made no sense like these rappers' careers,Disgusting
7,Undeniable (2012),Young Sinatra,"But I make dollars, 'cause I'm all about the fiscal year",Disgusting
8,Undeniable (2012),Young Sinatra,Yeah; you don't like me? I'll conjure up and summon all your fears,Disgusting
9,Undeniable (2012),Young Sinatra,You wanna fight me? I'll woop my own ass before you get here,Disgusting
10,Undeniable (2012),Young Sinatra,Wanna write me? And tell me that my rhymes suck?,Disgusting
11,Undeniable (2012),Young Sinatra,"Bitch I don't give a fuck, I'll stab you in the gut, call it a tummy tuck",Disgusting
12,Undeniable (2012),Young Sinatra,"You can ask my ex, I bust quicker than two techs",Disgusting
13,Undeniable (2012),Young Sinatra,Caressed by a kid with category 5 tourettes,Disgusting
14,Undeniable (2012),Young Sinatra,"In other words I squeeze with ease, dot my I's and cross my T's",Disgusting
15,Undeniable (2012),Young Sinatra,I'm a perfectionist; the lesson is fuck everyone assessing this,Disgusting
16,Undeniable (2012),Young Sinatra,"It's hip-hop, not to be taken literally",Disgusting
17,Undeniable (2012),Young Sinatra,However on the light of note I stayed with bills like Hilary,Disgusting
18,Undeniable (2012),Young Sinatra,"My flow convects, murder subjects with little respect",Disgusting
19,Undeniable (2012),Young Sinatra,"Best protect your neck, before you play my tape better inspect the deck",Disgusting
20,Undeniable (2012),Young Sinatra,Fuck every other rapper forever ever forever since the dawn of time,Disgusting
21,Undeniable (2012),Young Sinatra,Sike- I'm not that much of a dick when I rhyme,Disgusting
22,Undeniable (2012),Young Sinatra,"On another level like duplex, bust heads like suplex",Disgusting
23,Undeniable (2012),Young Sinatra,Slaughter MC's then ask who's next...,Disgusting
24,Undeniable (2012),Young Sinatra,I murdered my manager Chris last night,Disgusting
25,Undeniable (2012),Young Sinatra,"We exchanged a couple words, he said some things I didn't like",Disgusting
26,Undeniable (2012),Young Sinatra,I said okay... then punched him in the face with a butcher knife,Disgusting
27,Undeniable (2012),Young Sinatra,I want more like Ashton Kutcher's wife,Disgusting
28,Undeniable (2012),Young Sinatra,Now can you feel it? They won't {Sinatra},Disgusting
29,Undeniable (2012),Young Sinatra,"Gimme what I want, so fuck it I'm a steal it",Disgusting
30,Undeniable (2012),Young Sinatra,"I'll dilapidate you, grab the butter knife and decapitate you",Disgusting
31,Undeniable (2012),Young Sinatra,"Yeah that's what I said - huh, and bitch I did it",Disgusting
32,Undeniable (2012),Young Sinatra,We all have thoughts like this; I'm just willing to admit it,Disgusting
33,Undeniable (2012),Young Sinatra,"I would never act upon these thoughts now, don't you get it?",Disgusting
34,Undeniable (2012),Young Sinatra,"It's like when a gentleman sees the baddest bitch and thinks, ""I'd hit it!""",Disgusting
35,Undeniable (2012),Young Sinatra,But he never says it; I'll dump your body in a dessert,Disgusting
36,Undeniable (2012),Young Sinatra,It's the wrath of a psychopath clutching a razor blade in a bath,Disgusting
37,Undeniable (2012),Young Sinatra,"Having his last laugh, anticipating a gash- the other night I murdered captain crunch",Disgusting
38,Undeniable (2012),Young Sinatra,Right in front of Toucan Sam and a whole damn bunch,Disgusting
39,Undeniable (2012),Young Sinatra,"That's life, what can I say? I'm a cereal killer, venereal dealer",Disgusting
40,Undeniable (2012),Young Sinatra,And yes you know they ain't none other iller,Disgusting
41,Undeniable (2012),Young Sinatra,It's Logic.,Disgusting
42,Undeniable (2012),Young Sinatra,"Dead Presidents III, Not to be confused with Growing Pains III",Dead Presidents Iii
43,Undeniable (2012),Young Sinatra,"Logic this logic that, Logic sick, Logic wack",Dead Presidents Iii
44,Undeniable (2012),Young Sinatra,"Logic just don't give a fuck, Rattpack",Dead Presidents Iii
45,Undeniable (2012),Young Sinatra,"So many people think that rap is they calling, stop it just cease",Dead Presidents Iii
46,Undeniable (2012),Young Sinatra,Got-a-ca-peashe this is my house you fuckers just lease,Dead Presidents Iii
47,Undeniable (2012),Young Sinatra,Waitin' on a record deal that's never cumming like a priest,Dead Presidents Iii
48,Undeniable (2012),Young Sinatra,Black and white like a nun,Dead Presidents Iii
49,Undeniable (2012),Young Sinatra,These up-and-comers our sun,Dead Presidents Iii
50,Undeniable (2012),Young Sinatra,Like the break of dawn,Dead Presidents Iii
51,Undeniable (2012),Young Sinatra,So follow your father like an apostle paint pictures like a Picasso while bitches uncover my fossil,Dead Presidents Iii
52,Undeniable (2012),Young Sinatra,Never knowin' what's gon' follow,Dead Presidents Iii
53,Undeniable (2012),Young Sinatra,However we never wallow in our sorrow,Dead Presidents Iii
54,Undeniable (2012),Young Sinatra,Just pray for tomorrow,Dead Presidents Iii
55,Undeniable (2012),Young Sinatra,At times my heart could be hallow,Dead Presidents Iii
56,Undeniable (2012),Young Sinatra,Emotions forced to be swallowed,Dead Presidents Iii
57,Undeniable (2012),Young Sinatra,While neighborhood cats blast star gas like the apollo,Dead Presidents Iii
58,Undeniable (2012),Young Sinatra,This is just a simple reminder as my lyrics force you to ponder,Dead Presidents Iii
59,Undeniable (2012),Young Sinatra,Life's a bitch and I heard she'll fuck you so I'm trying to find her,Dead Presidents Iii
60,Undeniable (2012),Young Sinatra,One moment she'll love you then swallow you whole like an anaconda,Dead Presidents Iii
61,Undeniable (2012),Young Sinatra,"The bitch is kinky, kind of",Dead Presidents Iii
62,Undeniable (2012),Young Sinatra,So with the lift of a pinky I'mma,Dead Presidents Iii
63,Undeniable (2012),Young Sinatra,Dominate the world like my name was brain,Dead Presidents Iii
64,Undeniable (2012),Young Sinatra,Spit flame like propane,Dead Presidents Iii
65,Undeniable (2012),Young Sinatra,Bitches I overcame you know the name,Dead Presidents Iii
66,Undeniable (2012),Young Sinatra,"Ink in my veins, inflames, and spew on the page, to numb the pain like Novocain, muthafucker",Dead Presidents Iii
67,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
68,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
69,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
70,Undeniable (2012),Young Sinatra,I'm out for dead fucking presidents to represent me,Dead Presidents Iii
71,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
72,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
73,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
74,Undeniable (2012),Young Sinatra,I'm out for dead fucking presidents to represent me,Dead Presidents Iii
75,Undeniable (2012),Young Sinatra,Allow me to kill it off the brink like no traffic,Dead Presidents Iii
76,Undeniable (2012),Young Sinatra,Murderin' every demographic,Dead Presidents Iii
77,Undeniable (2012),Young Sinatra,Paint a picture using only blood to make sure that it's graphic,Dead Presidents Iii
78,Undeniable (2012),Young Sinatra,Rip the mic to set the example,Dead Presidents Iii
79,Undeniable (2012),Young Sinatra,While all these muthafuckers testin my patience like blood samples,Dead Presidents Iii
80,Undeniable (2012),Young Sinatra,"Constant thoughts of suicide,",Dead Presidents Iii
81,Undeniable (2012),Young Sinatra,Where living in an era that's do or die,Dead Presidents Iii
82,Undeniable (2012),Young Sinatra,"Society expects us to fail, I'm talking about you and I",Dead Presidents Iii
83,Undeniable (2012),Young Sinatra,"But we persevere force fear enemies saying ""we want nothing but peace and if not we leave 'em deceased""",Dead Presidents Iii
84,Undeniable (2012),Young Sinatra,In your central nervous system like heroine reppin' Maryland to the fullest,Dead Presidents Iii
85,Undeniable (2012),Young Sinatra,Bustin' like bullets that travel through chambers that are ignited by triggers don't pull it,Dead Presidents Iii
86,Undeniable (2012),Young Sinatra,I go from point A to point B by keeping it G,Dead Presidents Iii
87,Undeniable (2012),Young Sinatra,Ain't no killer but don't push me,Dead Presidents Iii
88,Undeniable (2012),Young Sinatra,If you grab the heat you a pussy,Dead Presidents Iii
89,Undeniable (2012),Young Sinatra,"Buckle up and tell me how you feel, forget the steal",Dead Presidents Iii
90,Undeniable (2012),Young Sinatra,I have not a single enemy,Dead Presidents Iii
91,Undeniable (2012),Young Sinatra,"Only evil entities that have some how befriended me, In they mind",Dead Presidents Iii
92,Undeniable (2012),Young Sinatra,'Cause I am just a mortal man of peace that can rhyme,Dead Presidents Iii
93,Undeniable (2012),Young Sinatra,And when it comes to dame's I catch plane's,Dead Presidents Iii
94,Undeniable (2012),Young Sinatra,They catch feelins,Dead Presidents Iii
95,Undeniable (2012),Young Sinatra,Haters keep my name in they mouth like villains,Dead Presidents Iii
96,Undeniable (2012),Young Sinatra,High as the ceiling,Dead Presidents Iii
97,Undeniable (2012),Young Sinatra,Y'all really don't know who your dealing with now,Dead Presidents Iii
98,Undeniable (2012),Young Sinatra,Visions of livin' until my flesh is perished and my spirit is risen,Dead Presidents Iii
99,Undeniable (2012),Young Sinatra,I'm thankful for every breath I'm given,Dead Presidents Iii
100,Undeniable (2012),Young Sinatra,Fuck social division,Dead Presidents Iii
101,Undeniable (2012),Young Sinatra,On the road to success and there ain't no time for collision,Dead Presidents Iii
102,Undeniable (2012),Young Sinatra,"People ask ""how you get your flow so amazing""",Dead Presidents Iii
103,Undeniable (2012),Young Sinatra,"To which I reply ""I have yet to scratch the surface like abrasions""",Dead Presidents Iii
104,Undeniable (2012),Young Sinatra,Haters taken shots but I never graze 'em,Dead Presidents Iii
105,Undeniable (2012),Young Sinatra,Now if pro is the opposite of con,Dead Presidents Iii
106,Undeniable (2012),Young Sinatra,What's the opposite of pro-gress,Dead Presidents Iii
107,Undeniable (2012),Young Sinatra,I love my country but that shit a mess,Dead Presidents Iii
108,Undeniable (2012),Young Sinatra,Grew up on sex and they that I can attest,Dead Presidents Iii
109,Undeniable (2012),Young Sinatra,And how they wonder why I claim that I'm the fucking best,Dead Presidents Iii
110,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
111,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
112,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
113,Undeniable (2012),Young Sinatra,I'm out for dead fucking presidents to represent me,Dead Presidents Iii
114,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
115,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
116,Undeniable (2012),Young Sinatra,I'm out for presidents to represent me (get money),Dead Presidents Iii
117,Undeniable (2012),Young Sinatra,I'm out for dead fucking presidents to represent me,Dead Presidents Iii
118,Undeniable (2012),Young Sinatra,Now if I don't believe it y'all won't perceive it,Dead Presidents Iii
119,Undeniable (2012),Young Sinatra,Now run it back and retrieve it,Dead Presidents Iii
120,Undeniable (2012),Young Sinatra,Till you receive it in your motherfuckin mind,Dead Presidents Iii
121,Undeniable (2012),Young Sinatra,Only 22 but I feel like I'm 99,Dead Presidents Iii
122,Undeniable (2012),Young Sinatra,Back in 1999 that's when I began to rhyme,Dead Presidents Iii
123,Undeniable (2012),Young Sinatra,Surrounded by narcotics and crime but you know I shine,Dead Presidents Iii
124,Undeniable (2012),Young Sinatra,Daddy was smokin' crack I was raised by a single mom,Dead Presidents Iii
125,Undeniable (2012),Young Sinatra,Fastin' every night I ain't talking 'bout no Ramadan,Dead Presidents Iii
126,Undeniable (2012),Young Sinatra,"I was poor as fuck me and my momma, we didn't have a dime",Dead Presidents Iii
127,Undeniable (2012),Young Sinatra,At 16 the school system dismissed him and wished him well,Dead Presidents Iii
128,Undeniable (2012),Young Sinatra,"But my momma never fought it, how the fuck could I prevail?",Dead Presidents Iii
129,Undeniable (2012),Young Sinatra,So I focused on this music and used it to create a life of my own,Dead Presidents Iii
130,Undeniable (2012),Young Sinatra,I left home at 17,Dead Presidents Iii
131,Undeniable (2012),Young Sinatra,Shortly after my momma got stabbed by fucking around in the streets,Dead Presidents Iii
132,Undeniable (2012),Young Sinatra,But she still breathin' which gives me a reason to believe in a higher power instead of grieving,Dead Presidents Iii
133,Undeniable (2012),Young Sinatra,So many rappers biting me you would think they was teethin',Dead Presidents Iii
134,Undeniable (2012),Young Sinatra,And now you know this is just a sugar coated version within a fraction of a percentage that was taken from just a piece of my story,Dead Presidents Iii
135,Undeniable (2012),Young Sinatra,I don't want to rule or conquer anyone,Set the Tone
136,Undeniable (2012),Young Sinatra,"I should like to help everyone if possible, Jew, gentile, black man, white",Set the Tone
137,Undeniable (2012),Young Sinatra,"We all want to help one another, human beings are like that",Set the Tone
138,Undeniable (2012),Young Sinatra,"We all want to live by each other's happiness, not by each other's misery",Set the Tone
139,Undeniable (2012),Young Sinatra,We don't want to hate and despise one another,Set the Tone
140,Undeniable (2012),Young Sinatra,In this world there is room for everyone and the earth is rich and can provide for everyone,Set the Tone
141,Undeniable (2012),Young Sinatra,The way of life can be free and beautiful. But we have lost the way,Set the Tone
142,Undeniable (2012),Young Sinatra,Greed has poisoned men's souls,Set the Tone
143,Undeniable (2012),Young Sinatra,Sinatra,Set the Tone
144,Undeniable (2012),Young Sinatra,"'Sinatra shot ya', god damn you'",Set the Tone
145,Undeniable (2012),Young Sinatra,'Is this what you want?',Set the Tone
146,Undeniable (2012),Young Sinatra,Logic,Set the Tone
147,Undeniable (2012),Young Sinatra,'You are watching a master at work',Set the Tone
148,Undeniable (2012),Young Sinatra,'You have interfered with our affairs for the last time',Set the Tone
149,Undeniable (2012),Young Sinatra,Many men wish to acquire fame for the wrong reasons,Set the Tone
150,Undeniable (2012),Young Sinatra,"Fans telling me never change, but it's harder fighting seasons",Set the Tone
151,Undeniable (2012),Young Sinatra,They hear me on the radio and now they yelling 'Treason!',Set the Tone
152,Undeniable (2012),Young Sinatra,Cause Logic giving them mainstreams like Ephesians,Set the Tone
153,Undeniable (2012),Young Sinatra,"But, I never sacrificed my lyrics or my flow",Set the Tone
154,Undeniable (2012),Young Sinatra,There's a time and place for everything so what the fuck you yelling for?,Set the Tone
155,Undeniable (2012),Young Sinatra,The fame hit me quicker than previously determined,Set the Tone
156,Undeniable (2012),Young Sinatra,"Rat Pack, real all the time, fuck a vermin",Set the Tone
157,Undeniable (2012),Young Sinatra,"Motivated by money, sex, drugs and violence",Set the Tone
158,Undeniable (2012),Young Sinatra,"Cause the era that we living, it was built up on defiance",Set the Tone
159,Undeniable (2012),Young Sinatra,"What we need is alliance, but y'all don't really hear me though",Set the Tone
160,Undeniable (2012),Young Sinatra,"So, hip-hop's a chariot and Logic's finna carry it",Set the Tone
161,Undeniable (2012),Young Sinatra,"Stallion, coming for their necks like a medallion",Set the Tone
162,Undeniable (2012),Young Sinatra,Straight out of Sierra Leone,Set the Tone
163,Undeniable (2012),Young Sinatra,"Motherfuckers it's on, I'm under your skin like cortisone",Set the Tone
164,Undeniable (2012),Young Sinatra,99% of these motherfuckers is bullshit,Set the Tone
165,Undeniable (2012),Young Sinatra,"But I'm on that Bull shit, Michael Jordan",Set the Tone
166,Undeniable (2012),Young Sinatra,Cutting records after the show at my hotel while I'm touring,Set the Tone
167,Undeniable (2012),Young Sinatra,"Yeah, and I ain't even 23",Set the Tone
168,Undeniable (2012),Young Sinatra,"But my bank account can vouch, I'm balling like an MVP",Set the Tone
169,Undeniable (2012),Young Sinatra,"Yes it's me, L-O-G-I-C,",Set the Tone
170,Undeniable (2012),Young Sinatra,I'm repping MD,Set the Tone
171,Undeniable (2012),Young Sinatra,Now what the fuck is a vacation? I see no satisfaction,Set the Tone
172,Undeniable (2012),Young Sinatra,"I work 12 hours a day, every day with no distraction",Set the Tone
173,Undeniable (2012),Young Sinatra,"7 days a week and 12 hours, that's a lazy day",Set the Tone
174,Undeniable (2012),Young Sinatra,"Going 74 hours with no sleep, call that a crazy day",Set the Tone
175,Undeniable (2012),Young Sinatra,"This is Manhunt, and I ain't stopping till y'all apprehended",Set the Tone
176,Undeniable (2012),Young Sinatra,Many years I have attended and finally been commended,Set the Tone
177,Undeniable (2012),Young Sinatra,For keeping it real so finger fuck whoever I've offended,Set the Tone
178,Undeniable (2012),Young Sinatra,"Now, pull out the Mac and watch them freeze like PCs",Set the Tone
179,Undeniable (2012),Young Sinatra,"I'm Celsius, never graduated so fuck degrees",Set the Tone
180,Undeniable (2012),Young Sinatra,"I educate 'em with ease, however listener please",Set the Tone
181,Undeniable (2012),Young Sinatra,"Don't knock that last line, school it just wasn't for me",Set the Tone
182,Undeniable (2012),Young Sinatra,"We all different,",Set the Tone
183,Undeniable (2012),Young Sinatra,And I'm here to make a killing,Set the Tone
184,Undeniable (2012),Young Sinatra,So say hello to the villain cause in this day that we living,Set the Tone
185,Undeniable (2012),Young Sinatra,And the nice guys finish last,Set the Tone
186,Undeniable (2012),Young Sinatra,I'm blowing up,Set the Tone
187,Undeniable (2012),Young Sinatra,Guess you could say I'm having a blast,Set the Tone
188,Undeniable (2012),Young Sinatra,"'Sinatra shot ya', god damn you'",Set the Tone
189,Undeniable (2012),Young Sinatra,'You are watching a master at work',Set the Tone
190,Undeniable (2012),Young Sinatra,'Is this what you want?',Set the Tone
191,Undeniable (2012),Young Sinatra,"Baby girl, you know what I want",Do Ya Like
192,Undeniable (2012),Young Sinatra,"Let me do it to ya, do it to ya",Do Ya Like
193,Undeniable (2012),Young Sinatra,"Let me do ya like uh, uh, uh...",Do Ya Like
194,Undeniable (2012),Young Sinatra,"Baby girl, you know what I want",Do Ya Like
195,Undeniable (2012),Young Sinatra,"Let me do it to ya, do it to ya",Do Ya Like
196,Undeniable (2012),Young Sinatra,"Let me do ya like uh, uh, uh...",Do Ya Like
197,Undeniable (2012),Young Sinatra,"Yeah, yeah, yeah",Do Ya Like
198,Undeniable (2012),Young Sinatra,Let me get it right now,Do Ya Like
199,Undeniable (2012),Young Sinatra,Let me get you aroused,Do Ya Like
200,Undeniable (2012),Young Sinatra,Baby you been on my mind for a while now,Do Ya Like
201,Undeniable (2012),Young Sinatra,I just wanna take some time,Do Ya Like
202,Undeniable (2012),Young Sinatra,Write this rhyme,Do Ya Like
203,Undeniable (2012),Young Sinatra,With a beautiful woman like you in mind,Do Ya Like
204,Undeniable (2012),Young Sinatra,Baby be mine,Do Ya Like
205,Undeniable (2012),Young Sinatra,"I'm trying to find what makes you tic, can we talk",Do Ya Like
206,Undeniable (2012),Young Sinatra,Maybe walk around the park,Do Ya Like
207,Undeniable (2012),Young Sinatra,Trust me girl I stand up hard,Do Ya Like
208,Undeniable (2012),Young Sinatra,All women ain't bitches and all,Do Ya Like
209,Undeniable (2012),Young Sinatra,Men aren't dawgs even though we bark,Do Ya Like
210,Undeniable (2012),Young Sinatra,'Cause I just want to get to know you,Do Ya Like
211,Undeniable (2012),Young Sinatra,Maybe run around and show you,Do Ya Like
212,Undeniable (2012),Young Sinatra,What a gentlemen is,Do Ya Like
213,Undeniable (2012),Young Sinatra,"Yeah, tell me what it do",Do Ya Like
214,Undeniable (2012),Young Sinatra,Shawty I'm coming for you,Do Ya Like
215,Undeniable (2012),Young Sinatra,Ain't talking about sex,Do Ya Like
216,Undeniable (2012),Young Sinatra,I'm talking about something from above,Do Ya Like
217,Undeniable (2012),Young Sinatra,I'm talking about love,Do Ya Like
218,Undeniable (2012),Young Sinatra,"Talking bout love, love, love (love)",Do Ya Like
219,Undeniable (2012),Young Sinatra,Yeah,Do Ya Like
220,Undeniable (2012),Young Sinatra,Now that you know that I'm for real,Do Ya Like
221,Undeniable (2012),Young Sinatra,It's the perfect time to kill,Do Ya Like
222,Undeniable (2012),Young Sinatra,Any fear that you may have,Do Ya Like
223,Undeniable (2012),Young Sinatra,Baby girl I won't be mad if you ain't feeling it,Do Ya Like
224,Undeniable (2012),Young Sinatra,But if you down you better believe I'm killing it,Do Ya Like
225,Undeniable (2012),Young Sinatra,Take it to the crib on that late night drilling it,Do Ya Like
226,Undeniable (2012),Young Sinatra,"Wait a second, hold up",Do Ya Like
227,Undeniable (2012),Young Sinatra,How you think I got this name,Do Ya Like
228,Undeniable (2012),Young Sinatra,I'm all about the brain,Do Ya Like
229,Undeniable (2012),Young Sinatra,Why you think they call me (Logic),Do Ya Like
230,Undeniable (2012),Young Sinatra,"Ok, condom in my pocket",Do Ya Like
231,Undeniable (2012),Young Sinatra,Lay on the bed let me rock it,Do Ya Like
232,Undeniable (2012),Young Sinatra,Please don't stop the spit from profit,Do Ya Like
233,Undeniable (2012),Young Sinatra,But this right here on the house,Do Ya Like
234,Undeniable (2012),Young Sinatra,"Fuck the bed, we cutting on the floor then later on the couch",Do Ya Like
235,Undeniable (2012),Young Sinatra,Ladies give out till I gets it in,Do Ya Like
236,Undeniable (2012),Young Sinatra,Make you scream and make you grin,Do Ya Like
237,Undeniable (2012),Young Sinatra,From the very beginning from the second I'm in,Do Ya Like
238,Undeniable (2012),Young Sinatra,I'm trying to tease you let me please you,Do Ya Like
239,Undeniable (2012),Young Sinatra,Baby girl you know I need you,Do Ya Like
240,Undeniable (2012),Young Sinatra,"Do you like it, never had it",Do Ya Like
241,Undeniable (2012),Young Sinatra,Putting work with this one right here,Do Ya Like
242,Undeniable (2012),Young Sinatra,Yeah you know it's just for fun,Do Ya Like
243,Undeniable (2012),Young Sinatra,Give it to you like I was trying to conceive a son,Do Ya Like
244,Undeniable (2012),Young Sinatra,I gets it done then I'm ready for more,Do Ya Like
245,Undeniable (2012),Young Sinatra,Ain't no telling where we'll go,Do Ya Like
246,Undeniable (2012),Young Sinatra,But one thing that I know fo sho,Do Ya Like
247,Undeniable (2012),Young Sinatra,This angel has no halo,Do Ya Like
248,Undeniable (2012),Young Sinatra,I don't play no games,Do Ya Like
249,Undeniable (2012),Young Sinatra,You can ask my ex I never eat the box,Do Ya Like
250,Undeniable (2012),Young Sinatra,But if I control her I may select some freaky shit to start,Do Ya Like
251,Undeniable (2012),Young Sinatra,Then bring it back,Do Ya Like
252,Undeniable (2012),Young Sinatra,We can go for hours girl I never slept,Do Ya Like
253,Undeniable (2012),Young Sinatra,Tell me how you want it,Do Ya Like
254,Undeniable (2012),Young Sinatra,Face to face or rough and from the deck,Do Ya Like
255,Undeniable (2012),Young Sinatra,Just like that she gon' overwork me if I let her,Do Ya Like
256,Undeniable (2012),Young Sinatra,But I don't give a damn I just wanna feel better (ay),Do Ya Like
257,Undeniable (2012),Young Sinatra,"Yeah, alright, yo",Relaxation
258,Undeniable (2012),Young Sinatra,A couple days ago,Relaxation
259,Undeniable (2012),Young Sinatra,I met the illest latina,Relaxation
260,Undeniable (2012),Young Sinatra,Her demeanor was unexplainable,Relaxation
261,Undeniable (2012),Young Sinatra,You shoulda seen her,Relaxation
262,Undeniable (2012),Young Sinatra,"Thick thighs, nice ass",Relaxation
263,Undeniable (2012),Young Sinatra,Body like an hourglass,Relaxation
264,Undeniable (2012),Young Sinatra,Didn't hesitate to break a brother,Relaxation
265,Undeniable (2012),Young Sinatra,Next second she passed,Relaxation
266,Undeniable (2012),Young Sinatra,"I was like, ""What's up?""",Relaxation
267,Undeniable (2012),Young Sinatra,To which she replied,Relaxation
268,Undeniable (2012),Young Sinatra,"""How you doin'?""",Relaxation
269,Undeniable (2012),Young Sinatra,I said de nada momma,Relaxation
270,Undeniable (2012),Young Sinatra,But your beauty I'm persuin',Relaxation
271,Undeniable (2012),Young Sinatra,And I said I'm about to win the lottery,Relaxation
272,Undeniable (2012),Young Sinatra,"She asks ""How?""",Relaxation
273,Undeniable (2012),Young Sinatra,"I said, ""Your seven digits right now""",Relaxation
274,Undeniable (2012),Young Sinatra,And made her smile,Relaxation
275,Undeniable (2012),Young Sinatra,Now we conversing,Relaxation
276,Undeniable (2012),Young Sinatra,And she feelin' my style,Relaxation
277,Undeniable (2012),Young Sinatra,I can tell by the way she talkin',Relaxation
278,Undeniable (2012),Young Sinatra,That she down to go the mile,Relaxation
279,Undeniable (2012),Young Sinatra,Had a couple drinks,Relaxation
280,Undeniable (2012),Young Sinatra,Now we headed back to her place,Relaxation
281,Undeniable (2012),Young Sinatra,The shade of red from her lipstick all over my face,Relaxation
282,Undeniable (2012),Young Sinatra,"I'm tryin' to hit, split it",Relaxation
283,Undeniable (2012),Young Sinatra,Baby girl you gonna let me get it?,Relaxation
284,Undeniable (2012),Young Sinatra,"She said, ""Hold up ok, I don't get down like that""",Relaxation
285,Undeniable (2012),Young Sinatra,I said I know beautiful girl,Relaxation
286,Undeniable (2012),Young Sinatra,But I get down like that,Relaxation
287,Undeniable (2012),Young Sinatra,"So let me heat it up, heat it up",Relaxation
288,Undeniable (2012),Young Sinatra,Go crazy and beat it up,Relaxation
289,Undeniable (2012),Young Sinatra,"""Damn papi, how you even know I like it rough?""",Relaxation
290,Undeniable (2012),Young Sinatra,The way you was feelin' on me,Relaxation
291,Undeniable (2012),Young Sinatra,When kissing revealed enough,Relaxation
292,Undeniable (2012),Young Sinatra,"I wanna scratch you, provoke you",Relaxation
293,Undeniable (2012),Young Sinatra,"Bite you, choke you",Relaxation
294,Undeniable (2012),Young Sinatra,"But just a little, bite your legs",Relaxation
295,Undeniable (2012),Young Sinatra,Dick up in the middle,Relaxation
296,Undeniable (2012),Young Sinatra,"""Hold up, wait a second",Relaxation
297,Undeniable (2012),Young Sinatra,"Nigga, you gotta condom?""",Relaxation
298,Undeniable (2012),Young Sinatra,Come on beautiful girl of course I've got protection,Relaxation
299,Undeniable (2012),Young Sinatra,I stay with Magnums and I ain't talkin' Smith and Wesson,Relaxation
300,Undeniable (2012),Young Sinatra,I keep undressin',Relaxation
301,Undeniable (2012),Young Sinatra,Girl I'm about to teach you a lesson,Relaxation
302,Undeniable (2012),Young Sinatra,After I hit it she says,Relaxation
303,Undeniable (2012),Young Sinatra,"""Bobby I have a confession",Relaxation
304,Undeniable (2012),Young Sinatra,"I think I love you!""",Relaxation
305,Undeniable (2012),Young Sinatra,"I said "" What the fuck?""",Relaxation
306,Undeniable (2012),Young Sinatra,Thinkin' to myself,Relaxation
307,Undeniable (2012),Young Sinatra,"Damn, I shoulda never cut",Relaxation
308,Undeniable (2012),Young Sinatra,Kissed her on the cheek,Relaxation
309,Undeniable (2012),Young Sinatra,"Hit the lights, then she fell asleep",Relaxation
310,Undeniable (2012),Young Sinatra,"So I snuck out the bathroom window on the creep, like",Relaxation
311,Undeniable (2012),Young Sinatra,"(The next day, the next day, the next day, the next day, yo",Relaxation
312,Undeniable (2012),Young Sinatra,"The next day, the next day, the next)",Relaxation
313,Undeniable (2012),Young Sinatra,"Yeah, yeah, yo",Relaxation
314,Undeniable (2012),Young Sinatra,Now I'm out the door,Relaxation
315,Undeniable (2012),Young Sinatra,Downtown is where I'm about to go,Relaxation
316,Undeniable (2012),Young Sinatra,Got a meeting with my boy Chris,Relaxation
317,Undeniable (2012),Young Sinatra,About a dope show,Relaxation
318,Undeniable (2012),Young Sinatra,"So I hail a cab, jump in",Relaxation
319,Undeniable (2012),Young Sinatra,But so does some girl,Relaxation
320,Undeniable (2012),Young Sinatra,"Beautiful, pretty eyes",Relaxation
321,Undeniable (2012),Young Sinatra,With luxurious curls,Relaxation
322,Undeniable (2012),Young Sinatra,"I said ""No fair""",Relaxation
323,Undeniable (2012),Young Sinatra,She smiled and said,Relaxation
324,Undeniable (2012),Young Sinatra,""" Why don't we share?""",Relaxation
325,Undeniable (2012),Young Sinatra,What a success,Relaxation
326,Undeniable (2012),Young Sinatra,Lookin' at her chest,Relaxation
